px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
101.145	16.5166	1.17515	-0.350407	0.123226	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.828625
101.134	16.5161	1.14756	-0.36644	0.109331	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.14191
102.339	16.3693	1.20201	-0.0531321	0.206492	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.724781
102.272	16.3592	1.12564	-0.0873869	0.18583	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.33277
103.105	15.4979	0.963994	-0.649743	-0.165641	103.003	15.353	103.119	15.4967	1.11708	-0.508169	8.09679
103.072	15.5223	0.992151	-0.587769	-0.11042	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	2.73336
104.049	15.2159	1.02772	-0.373957	0.0451158	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	1.59856
104.047	15.2126	1.07865	-0.352032	0.0655187	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	1.22451
105.403	14.514	1.43755	-0.471927	-0.0203529	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	4.53833
105.381	14.51	1.42551	-0.480102	-0.0228259	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.25077
106.781	14.0335	1.4888	-0.321636	0.0662301	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.656528
106.741	14.0258	1.48031	-0.333439	0.0642393	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	0.990647
108.093	13.6516	1.45078	-0.235214	0.0812342	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0401078
108.113	13.6554	1.48846	-0.219945	0.0946317	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.181293
109.537	13.552	1.46654	-0.0231286	0.14653	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.146347
109.51	13.5464	1.45341	-0.0300442	0.143562	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.384082
111.036	12.6977	1.53026	-0.524229	-0.179059	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	5.44486
111.124	12.7412	1.64952	-0.455671	-0.120911	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.68559
112.84	12.4366	1.70968	-0.190711	0.0824506	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	2.50594
112.853	12.4374	1.74276	-0.180439	0.0913261	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.168321
114.735	12.5193	1.84807	0.125658	0.202701	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	1.25372
114.756	12.5237	1.85494	0.130836	0.20519	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.253945
116.672	12.1791	1.86311	-0.125986	-0.039937	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	2.93061
116.722	12.1976	1.95609	-0.107498	-0.0208446	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.992161
118.865	12.0004	2.13907	-0.0975421	0.000704885	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	1.29489
118.872	12.0026	2.15095	-0.0946469	0.00315995	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.0299512
120.77	12.2518	1.97282	0.132513	0.123867	120.695	12.2918	120.743	12.3289	2.21139	0.128528	1.77115
120.81	12.2517	2.03613	0.133184	0.123614	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.493131
123.352	12.7873	2.49232	0.284501	0.130036	123.568	12.8297	122.95	12.5114	2.29835	0.246599	8.09777
123.311	12.7869	2.44389	0.291393	0.136399	123.142	12.7694	122.95	12.5114	2.29835	0.246599	0.492279
125.106	12.8832	1.93594	0.166952	0.00447295	124.894	12.7743	125.242	12.8125	2.37624	0.369827	10.3059
125.201	12.9013	2.12357	0.157496	-0.00304603	125.376	12.9964	125.242	12.8125	2.37624	0.369827	3.81602
127.695	13.302	2.45801	0.153695	-0.00154206	127.853	13.3273	127.609	13.2365	2.44434	0.495787	4.29577
